State,Num1,Num2
END,1.481,3.368
END,1.51,3.368
END,1.54,3.368
END,1.588,3.368
END,1.628,3.368
END,1.637,3.368
END,1.637,3.368
END,1.647,3.368
END,1.667,3.368
END,1.667,3.368
END,1.647,3.368
END,1.657,3.368
END,1.681,3.368
END,1.681,3.368
END,1.672,3.368
END,1.667,3.368
END,1.681,3.368
END,1.691,3.368
END,1.672,3.368
END,1.667,3.368
END,1.686,3.368
END,1.696,3.368
END,1.686,3.368
END,1.681,3.368
END,1.691,3.368
END,1.711,3.368
END,1.696,3.368
END,1.681,3.368
END,1.691,3.368
END,1.706,3.368
END,1.701,3.368
END,1.686,3.368
END,1.691,3.368
END,1.706,3.368
END,1.701,3.368
END,1.681,3.368
END,1.681,3.368
END,1.701,3.368
END,1.701,3.368
END,1.691,3.368
END,1.686,3.368
END,1.701,3.368
END,1.706,3.368
END,1.686,3.368
END,1.681,3.368
END,1.706,3.368
END,1.716,3.368
END,1.701,3.368
END,1.696,3.368
END,1.701,3.368
END,1.716,3.368
END,1.701,3.368
END,1.691,3.368
END,1.701,3.368
END,1.716,3.368
END,1.711,3.368
END,1.696,3.368
END,1.696,3.368
END,1.711,0
END,1.706,0
END,1.691,0
END,1.696,0
END,1.716,0
END,1.72,0
END,1.706,0
END,1.706,0
END,1.72,0
END,1.73,0
END,1.716,0
END,1.711,0
END,1.725,0
END,1.735,0
END,1.725,0
END,1.72,0
END,1.73,0
END,1.75,0
END,1.735,0
END,1.725,0
END,1.74,0
END,1.76,0
END,1.755,0
END,1.745,0
END,1.755,0
END,1.774,0
END,1.769,0
END,1.755,0
END,1.764,0
END,1.784,0
END,1.784,0
END,1.774,0
END,1.779,0
END,1.799,0
END,1.813,0
END,1.799,0
END,1.799,0
END,1.823,0
END,1.838,0
END,1.833,0
END,1.828,0
END,1.843,0
END,1.852,0
END,1.843,0
END,1.828,0
END,1.848,0
END,1.862,0
END,1.857,0
END,1.852,0
END,1.852,0
END,1.867,0
END,1.862,0
END,1.838,0
END,1.838,0
END,1.857,0
END,1.852,0
END,1.838,0
END,1.828,0
END,1.838,0
END,1.838,0
END,1.808,0
END,1.799,0
END,1.808,0
END,1.804,0
END,1.779,0
END,1.76,0
END,1.755,0
END,1.76,0
END,1.735,0
END,1.711,0
END,1.716,0
END,1.72,0
END,1.711,0
END,1.691,0
END,1.686,0
END,1.696,0
END,1.686,0
END,1.657,0
END,1.662,0
END,1.676,0
END,1.672,0
END,1.657,0
END,1.652,0
END,1.662,0
END,1.667,0
END,1.642,0
END,1.632,0
END,1.647,0
END,1.647,0
END,1.637,0
END,1.628,0
END,1.637,0
END,1.652,0
END,1.637,0
END,1.623,0
END,1.642,0
END,1.657,0
END,1.652,0
END,1.637,0
END,1.637,0
END,1.652,0
END,1.647,0
END,1.628,0
END,1.632,0
END,1.647,0
END,1.647,0
END,1.632,0
END,1.632,0
END,1.647,0
END,1.652,0
END,1.628,0
END,1.623,0
END,1.642,0
END,1.652,0
END,1.642,0
END,1.632,0
END,1.642,0
END,1.657,0
END,1.642,0
END,1.628,0
END,1.642,0
END,1.657,0
END,1.647,0
END,1.632,0
END,1.637,0
END,1.652,0
END,1.647,0
END,1.623,0
END,1.632,0
END,1.652,0
END,1.652,0
END,1.637,0
END,1.632,0
END,1.647,0
END,1.657,0
END,1.632,0
END,1.632,0
END,1.647,0
END,1.657,0
END,1.647,0
END,1.637,0
END,1.657,0
END,1.681,0
END,1.686,0
END,1.691,0
END,1.73,0
END,1.769,0
END,1.794,0
END,1.808,0
END,1.838,0
END,1.872,0
END,1.877,0
END,1.857,0
END,1.852,3.368
END,1.843,3.368
END,1.799,3.368
END,1.725,3.368
END,1.642,3.368
END,1.564,3.368
END,1.476,3.368
END,1.354,3.368
END,1.251,3.368
END,1.173,3.368
END,1.105,3.368
END,1.031,3.368
END,0.992,3.368
END,0.987,3.368
END,1.012,3.368
END,1.026,3.368
END,1.056,3.368
END,1.119,3.368
END,1.193,3.368
END,1.241,3.368
END,1.285,3.368
END,1.344,3.368
END,1.408,3.368
END,1.457,3.368
END,1.481,3.368
END,1.535,3.368
END,1.593,3.368
END,1.632,3.368
END,1.647,3.368
END,1.662,3.372
END,1.691,3.368
END,1.706,3.368
END,1.686,3.368
END,1.686,3.368
END,1.711,3.368
END,1.725,3.368
END,1.72,3.372
END,1.716,3.368
END,1.73,3.368
END,1.745,3.368
END,1.73,3.368
END,1.711,3.368
END,1.725,3.368
END,1.74,3.368
END,1.735,3.372
END,1.725,3.368
END,1.73,3.372
END,1.745,3.368
END,1.74,3.368
END,1.72,3.368
END,1.725,3.368
END,1.745,3.368
END,1.745,3.368
END,1.73,3.368
END,1.73,3.368
END,1.745,3.368
END,1.755,3.372
END,1.73,3.368
END,1.73,3.368
END,1.745,3.368
END,1.755,3.368
END,1.74,3.368
END,1.73,0
END,1.74,0
END,1.755,0
END,1.74,0
END,1.725,0
END,1.74,0
END,1.755,0
END,1.75,0
END,1.74,0
END,1.745,0
END,1.764,0
END,1.76,0
END,1.745,0
END,1.755,0
END,1.774,0
