
END,1.760,0.000
END,1.755,0.000
END,1.764,0.000
END,1.764,0.000
END,1.725,0.000
END,1.686,0.000
END,1.681,0.000
END,1.667,0.000
END,1.647,0.000
END,1.628,0.000
END,1.628,0.000
END,1.642,0.000
END,1.637,0.000
END,1.618,0.000
END,1.632,0.000
END,1.652,0.000
END,1.652,0.000
END,1.637,0.000
END,1.628,0.000
END,1.647,0.000
END,1.657,0.000
END,1.642,0.000
END,1.652,0.000
END,1.667,0.000
END,1.662,0.000
END,1.642,0.000
END,1.628,0.000
END,1.632,0.000
END,1.637,0.000
END,1.613,0.000
END,1.608,0.000
END,1.637,0.000
END,1.667,0.000
END,1.676,0.000
END,1.686,0.000
END,1.691,0.000
END,1.696,0.000
END,1.662,0.000
END,1.613,0.000
END,1.603,0.000
END,1.608,0.000
END,1.603,0.000
END,1.593,0.000
END,1.603,0.000
END,1.628,0.000
END,1.647,0.000
END,1.632,0.000
END,1.632,0.000
END,1.647,0.000
END,1.642,0.000
END,1.623,0.000
END,1.608,0.000
END,1.623,0.000
END,1.642,0.000
END,1.632,0.000
END,1.628,0.000
END,1.652,0.000
END,1.667,0.000
END,1.657,0.000
END,1.642,0.000
END,1.647,0.000
END,1.662,0.000
END,1.652,0.000
END,1.632,0.000
END,1.637,0.000
END,1.652,0.000
END,1.647,0.000
END,1.637,0.000
END,1.628,0.000
END,1.647,0.000
END,1.652,0.000
END,1.637,0.000
END,1.637,0.000
END,1.657,0.000
END,1.662,0.000
END,1.657,0.000
END,1.647,0.000
END,1.652,0.000
END,1.657,0.000
END,1.637,0.000
END,1.628,0.000
END,1.647,0.000
END,1.652,0.000
END,1.642,0.000
END,1.637,0.000
END,1.642,0.000
END,1.662,0.000
END,1.647,0.000
END,1.628,0.000
END,1.642,0.000
END,1.667,0.000
END,1.662,0.000
END,1.652,0.000
END,1.657,0.000
END,1.672,0.000
END,1.667,0.000
END,1.642,0.000
END,1.642,0.000
END,1.667,0.000
END,1.672,0.000
END,1.662,0.000
END,1.657,0.000
END,1.667,0.000
END,1.676,0.000
END,1.652,0.000
END,1.642,0.000
END,1.652,0.000
END,1.662,0.000
END,1.652,0.000
END,1.642,0.000
END,1.642,0.000
END,1.662,0.000
END,1.657,0.000
END,1.642,0.000
END,1.647,0.000
END,1.667,0.000
END,1.657,0.000
END,1.652,0.000
END,1.662,0.000
END,1.696,0.000
END,1.701,0.000
END,1.676,0.000
END,1.662,0.000
