State,Num1,Num2
END,1.632,0
END,1.647,0
END,1.667,0
END,1.662,0
END,1.657,0
END,1.662,0
END,1.681,0
END,1.672,0
END,1.652,0
END,1.657,0
END,1.676,0
END,1.672,0
END,1.667,0
END,1.662,0
END,1.676,0
END,1.686,0
END,1.672,0
END,1.672,0
END,1.691,0
END,1.696,0
END,1.691,0
END,1.686,0
END,1.696,0
END,1.711,0
END,1.701,0
END,1.686,0
END,1.701,0
END,1.716,0
END,1.711,0
END,1.701,0
END,1.701,0
END,1.711,0
END,1.706,0
END,1.686,0
END,1.696,0
END,1.711,0
END,1.716,0
END,1.711,0
END,1.706,0
END,1.72,0
END,1.73,0
END,1.706,0
END,1.701,0
END,1.716,0
END,1.72,0
END,1.716,0
END,1.706,0
END,1.716,0
END,1.725,0
END,1.716,0
END,1.701,0
END,1.716,0
END,1.725,0
END,1.716,0
END,1.706,0
END,1.706,0
END,1.716,0
END,1.711,0
END,1.686,0
END,1.691,0
END,1.706,0
END,1.706,0
END,1.696,0
END,1.686,0
END,1.701,0
END,1.701,0
END,1.676,0
END,1.672,0
END,1.686,0
END,1.686,0
END,1.672,0
END,1.657,0
END,1.657,0
END,1.662,0
END,1.642,0
END,1.628,0
END,1.632,0
END,1.642,0
END,1.632,0
END,1.623,0
END,1.623,0
END,1.637,0
END,1.632,0
END,1.613,0
END,1.623,0
END,1.637,0
END,1.637,0
END,1.628,0
END,1.628,0
END,1.637,0
END,1.642,0
END,1.618,0
END,1.613,0
END,1.623,0
END,1.632,0
END,1.623,0
END,1.618,0
END,1.623,0
END,1.637,0
END,1.623,0
END,1.613,0
END,1.628,0
END,1.642,0
END,1.637,0
END,1.628,0
END,1.628,0
END,1.642,0
END,1.637,0
END,1.618,0
END,1.628,0
END,1.642,0
END,1.647,0
END,1.637,0
END,1.632,0
END,1.647,0
END,1.652,0
END,1.632,0
END,1.628,0
END,1.642,0
END,1.647,0
END,1.637,0
END,1.632,0
END,1.642,0
END,1.652,0
END,1.642,0
END,1.628,0
END,1.637,0
END,1.652,0
END,1.642,0
END,1.632,0
END,1.637,0
END,1.652,0
END,1.647,0
END,1.628,0
END,1.628,0
END,1.647,0
END,1.647,0
END,1.642,0
END,1.637,0
END,1.652,0
END,1.662,0
END,1.642,0
END,1.642,0
END,1.657,0
END,1.667,0
END,1.657,0
END,1.652,0
END,1.662,0
END,1.672,0
END,1.662,0
END,1.652,0
END,1.667,0
END,1.681,0
END,1.681,0
END,1.672,0
END,1.681,0
END,1.701,0
END,1.701,0
END,1.681,0
END,1.691,0
END,1.711,0
END,1.711,0
END,1.701,0
END,1.696,0
END,1.711,0
END,1.716,0
END,1.696,0
END,1.686,0
END,1.691,0
END,1.696,0
END,1.681,0
END,1.667,0
END,1.667,0
END,1.672,0
END,1.652,0
END,1.632,0
END,1.637,0
END,1.647,0
END,1.637,0
END,1.628,0
END,1.623,0
END,1.637,0
END,1.632,0
END,1.613,0
END,1.618,0
END,1.632,0
END,1.637,0
END,1.628,0
END,1.623,0
END,1.632,0
END,1.632,0
END,1.613,0
END,1.608,0
END,1.623,0
END,1.628,0
END,1.618,0
END,1.603,0
END,1.603,0
END,1.603,0
END,1.579,0
END,1.554,0
END,1.559,0
END,1.569,0
END,1.574,0
END,1.588,0
END,1.632,0
END,1.711,0
END,1.799,0
END,1.882,0
END,1.994,0
END,2.107,0
END,2.18,0
END,2.219,0
END,2.234,0
END,2.239,3.372
END,2.209,3.372
END,2.136,3.372
END,2.053,3.372
END,1.984,3.372
END,1.911,3.372
END,1.823,3.372
END,1.745,3.372
END,1.696,3.372
END,1.662,3.372
END,1.618,3.372
END,1.584,3.372
END,1.588,3.372
END,1.603,3.372
END,1.613,3.372
END,1.613,3.372
END,1.628,3.372
END,1.647,0
END,1.637,0
END,1.613,0
END,1.608,0
END,1.618,0
END,1.618,0
END,1.608,0
END,1.603,0
END,1.618,0
END,1.628,0
END,1.608,0
END,1.598,0
END,1.613,0
END,1.618,0
END,1.608,0
END,1.598,0
END,1.603,0
END,1.618,0
END,1.603,0
END,1.588,0
END,1.603,0
END,1.618,0
END,1.618,0
END,1.613,0
END,1.613,0
END,1.632,0
END,1.632,0
END,1.618,0
END,1.618,0
END,1.632,0
END,1.628,0
END,1.623,0
END,1.623,0
END,1.632,0
END,1.642,0
END,1.623,0
END,1.618,0
END,1.637,0
END,1.652,0
END,1.642,0
END,1.632,0
END,1.632,0
END,1.642,0
END,1.628,0
END,1.613,0
END,1.623,0
END,1.637,0
END,1.637,0
END,1.632,0
END,1.637,0
END,1.657,0
END,1.662,0
END,1.642,0
END,1.647,0
END,1.667,0
END,1.667,0
END,1.662,0
END,1.657,0
END,1.672,0
END,1.676,0
END,1.662,0
END,1.657,0
END,1.672,0
END,1.681,0
END,1.676,0
END,1.667,0
END,1.676,0
END,1.691,0
END,1.681,0
END,1.672,0
END,1.686,0
END,1.701,0
END,1.696,0
END,1.691,0
END,1.686,0
END,1.701,0
END,1.701,0
END,1.681,0
END,1.686,0
END,1.706,0
END,1.706,0
END,1.701,0
END,1.696,0
END,1.706,0
END,1.716,0
END,1.691,0
END,1.681,0
END,1.696,0
END,1.701,0
END,1.701,0
END,1.696,0
END,1.701,0
END,1.72,0
END,1.711,0
END,1.696,0
END,1.706,0
END,1.711,0
END,1.701,0
END,1.686,0
END,1.686,0
END,1.696,0
END,1.696,0
END,1.681,0
END,1.686,0
END,1.706,0
END,1.706,0
END,1.696,0
END,1.686,0
END,1.691,0
END,1.691,0
END,1.667,0
END,1.657,0
END,1.667,0
END,1.672,0
END,1.667,0
END,1.657,0
END,1.662,0
END,1.672,0
END,1.657,0
END,1.637,0
END,1.642,0
END,1.652,0
END,1.647,0
END,1.637,0
END,1.632,0
END,1.642,0
END,1.637,0
END,1.618,0
END,1.618,0
END,1.632,0
END,1.637,0
END,1.628,0
END,1.618,0
END,1.632,0
END,1.642,0
END,1.623,0
END,1.623,0
END,1.632,0
END,1.637,0
END,1.628,0
END,1.618,0
END,1.623,0
END,1.637,0
END,1.618,0
END,1.603,0
END,1.613,0
END,1.628,0
END,1.628,0
END,1.623,0
END,1.623,0
END,1.637,0
END,1.637,0
END,1.613,0
END,1.623,0
END,1.637,0
END,1.642,0
END,1.637,0
END,1.632,0
END,1.647,0
END,1.652,0
END,1.637,0
END,1.628,0
END,1.642,0
END,1.647,0
END,1.637,0
END,1.628,0
END,1.632,0
END,1.647,0
END,1.637,0
END,1.623,0
END,1.632,0
END,1.647,0
END,1.647,0
END,1.637,0
END,1.637,0
END,1.647,0
END,1.647,0
END,1.623,0
END,1.623,0
END,1.637,0
END,1.637,0
END,1.632,0
END,1.628,0
END,1.642,0
END,1.652,0
END,1.632,0
END,1.623,0
END,1.637,0
END,1.642,0
END,1.632,0
END,1.623,0
END,1.632,0
END,1.647,0
END,1.637,0
END,1.628,0
END,1.642,0
END,1.657,0
END,1.657,0
END,1.642,0
END,1.642,0
END,1.657,0
END,1.657,0
END,1.637,0
END,1.637,0
END,1.657,0
END,1.662,0
END,1.657,0
END,1.657,0
END,1.672,0
END,1.686,0
END,1.676,0
END,1.676,0
END,1.696,0
END,1.706,0
END,1.701,0
END,1.691,0
END,1.696,0
END,1.711,0
END,1.696,0
END,1.681,0
END,1.696,0
END,1.711,0
END,1.711,0
END,1.701,0
END,1.696,0
END,1.701,0
END,1.691,0
END,1.662,0
END,1.652,0
END,1.662,0
END,1.662,0
END,1.647,0
END,1.637,0
END,1.642,0
END,1.647,0
END,1.628,0
END,1.618,0
END,1.628,0
END,1.632,0
END,1.628,0
END,1.618,0
END,1.628,0
END,1.642,0
END,1.632,0
END,1.613,0
END,1.623,0
END,1.632,0
END,1.628,0
END,1.613,0
END,1.613,0
END,1.623,0
END,1.613,0
END,1.584,0
END,1.574,0
END,1.579,0
END,1.569,0
END,1.554,0
END,1.544,0
END,1.559,0
END,1.588,0
END,1.603,0
END,1.657,0
END,1.755,0
END,1.867,0
END,1.97,0
END,2.067,0
END,2.16,0
END,2.234,0
END,2.253,0
END,2.243,0
END,2.224,3.372
END,2.19,3.372
END,2.116,3.372
END,2.023,3.372
END,1.94,3.372
END,1.872,3.372
END,1.799,3.372
END,1.716,3.372
END,1.667,3.372
END,1.642,3.372
END,1.618,3.372
END,1.588,3.372
END,1.579,3.372
END,1.593,3.372
END,1.618,3.372
END,1.613,0
END,1.618,0
END,1.637,0
END,1.642,0
END,1.628,0
END,1.608,0
END,1.608,0
END,1.618,0
END,1.603,0
END,1.584,0
END,1.593,0
END,1.608,0
END,1.608,0
END,1.598,0
END,1.603,0
END,1.618,0
END,1.623,0
END,1.603,0
END,1.608,0
END,1.623,0
END,1.623,0
END,1.613,0
END,1.608,0
END,1.618,0
END,1.623,0
END,1.608,0
END,1.603,0
END,1.623,0
END,1.628,0
END,1.618,0
END,1.613,0
END,1.618,0
END,1.632,0
END,1.623,0
END,1.608,0
END,1.618,0
END,1.637,0
END,1.637,0
END,1.628,0
END,1.623,0
END,1.637,0
END,1.637,0
END,1.618,0
END,1.618,0
END,1.642,0
END,1.642,0
END,1.637,0
END,1.637,0
END,1.647,0
END,1.657,0
END,1.637,0
END,1.632,0
END,1.647,0
END,1.657,0
END,1.657,0
END,1.652,0
END,1.667,0
END,1.681,0
END,1.672,0
END,1.652,0
END,1.662,0
