State,Num1,Num2
END,1.676,0
END,1.681,0
END,1.706,0
END,1.716,0
END,1.696,0
END,1.696,0
END,1.711,0
END,1.711,0
END,1.696,0
END,1.691,0
END,1.706,0
END,1.725,0
END,1.716,0
END,1.711,0
END,1.735,0
END,1.755,0
END,1.755,0
END,1.745,0
END,1.75,0
END,1.774,0
END,1.764,0
END,1.745,0
END,1.755,0
END,1.769,0
END,1.764,0
END,1.745,0
END,1.735,0
END,1.74,0
END,1.735,0
END,1.701,0
END,1.691,0
END,1.701,0
END,1.706,0
END,1.696,0
END,1.691,0
END,1.706,0
END,1.725,0
END,1.706,0
END,1.686,0
END,1.691,0
END,1.696,0
END,1.676,0
END,1.657,0
END,1.652,0
END,1.676,0
END,1.667,0
END,1.652,0
END,1.662,0
END,1.686,0
END,1.691,0
END,1.672,0
END,1.652,0
END,1.642,0
END,1.623,0
END,1.574,0
END,1.554,0
END,1.564,0
END,1.569,0
END,1.579,0
END,1.608,0
END,1.676,0
END,1.774,0
END,1.862,0
END,1.979,0
END,2.121,0
END,2.243,0
END,2.322,0
END,2.366,0
END,2.39,0
END,2.395,3.377
END,2.346,3.377
END,2.258,3.377
END,2.18,3.377
END,2.097,3.377
END,1.994,3.377
END,1.887,3.377
END,1.799,3.377
END,1.745,3.377
END,1.696,3.377
END,1.628,3.377
END,1.593,3.377
END,1.603,3.377
END,1.608,3.377
END,1.613,3.377
END,1.618,0
END,1.647,0
END,1.672,0
END,1.647,0
END,1.628,0
END,1.632,0
END,1.637,0
END,1.623,0
END,1.618,0
END,1.632,0
END,1.662,0
END,1.657,0
END,1.637,0
END,1.647,0
END,1.657,0
END,1.642,0
END,1.618,0
END,1.608,0
END,1.628,0
END,1.632,0
END,1.608,0
END,1.613,0
END,1.637,0
END,1.647,0
END,1.642,0
END,1.637,0
END,1.647,0
END,1.657,0
END,1.628,0
END,1.618,0
END,1.637,0
END,1.657,0
END,1.647,0
END,1.637,0
END,1.642,0
END,1.662,0
END,1.662,0
END,1.647,0
END,1.662,0
END,1.676,0
END,1.667,0
END,1.652,0
END,1.647,0
END,1.662,0
END,1.672,0
END,1.652,0
END,1.652,0
END,1.681,0
END,1.691,0
END,1.681,0
END,1.676,0
END,1.686,0
END,1.696,0
END,1.676,0
END,1.667,0
END,1.686,0
